	Gene
1523	ATOX1
1524	ATP10A
1525	ATP10B
1526	ATP10D
1527	ATP11A
1528	ATP11B
1529	ATP11C
1530	ATP12A
1531	ATP13A1
1532	ATP13A2
1533	ATP13A3
1534	ATP13A4
1535	ATP13A5
1536	ATP1A1
1537	ATP1A2
1538	ATP1A3
1539	ATP1A4
1540	ATP1B1
1541	ATP1B2
1542	ATP1B3
1543	ATP1B4
1544	ATP2A1
1545	ATP2A2
1546	ATP2A3
1547	ATP2B1
1548	ATP2B2
1549	ATP2B3
1550	ATP2B4
1551	ATP2C1
1552	ATP2C2
1553	ATP4A
1554	ATP4B
1555	ATP5A1
1556	ATP5B
1557	ATP5C1
1558	ATP5D
1559	ATP5E
1560	ATP5EP2
1561	ATP5F1
1562	ATP5G1
1563	ATP5G2
1564	ATP5G3
1565	ATP5H
1566	ATP5I
1567	ATP5J
1568	ATP5J2
1569	ATP5J2-PTCD1
1570	ATP5L
1571	ATP5L2
1572	ATP5O
1573	ATP5S
1574	ATP5SL
1575	ATP6AP1
1576	ATP6AP1L
1577	ATP6AP2
1578	ATP6V0A1
1579	ATP6V0A2
1580	ATP6V0A4
1581	ATP6V0B
1582	ATP6V0C
1583	ATP6V0D1
1584	ATP6V0D2
1585	ATP6V0E1
1586	ATP6V0E2
1587	ATP6V1A
1588	ATP6V1B1
1589	ATP6V1B2
1590	ATP6V1C1
1591	ATP6V1C2
1592	ATP6V1D
1593	ATP6V1E1
1594	ATP6V1E2
